queueLength:vector AmusementAlt1.TicketQueue (#0 - General-0-20190508-15:29:44-6408),,queueLength:vector AmusementAlt1.SecurityQueue1 (#0 - General-0-20190508-15:29:44-6408),,queueLength:vector AmusementAlt1.SecurityQueue2 (#0 - General-0-20190508-15:29:44-6408),,lifeTime:vector AmusementAlt1.EnterPark (#0 - General-0-20190508-15:29:44-6408),
1328.218945553389,23,,,,,3396.87031893173,1487.493282891499797
1328.313076363236,24,,,,,3411.715043292305,1515.007259606499695
1331.479906487847,25,,,,,3472.852290652587,1428.167444213599988
1332.387544612884,24,,,,,3500.321846859761,1452.621180216900025
1348.765100737846,23,,,,,3532.632569803846,1474.474502559199657
1354.132589327297,24,,,,,3550.228510005781,1491.394707050099891
1382.353077513185,25,,,,,3631.798453147115,1571.531142505200018
1399.520936869764,26,,,,,3633.07757040756,1491.813322989499733
1404.945352826246,25,,,,,3693.842281912582,1478.378822656499772
1409.60781300152,26,,,,,3735.427796992685,1492.238510696100087
1414.656212859342,27,,,,,3745.527074364032,1501.220387009700057
1435.793107129666,26,,,,,3768.620938034294,1511.571888064499941
1459.086350828825,27,,,,,3780.606950301966,1528.020684494199935
1495.024959119143,26,,,,,3821.902055869155,1560.896415750200043
1495.896754491781,25,,,,,3868.80517365598,1607.425624128599787
1496.555548425968,26,,,,,3884.276202256138,1619.146273704699975
1519.061188762843,27,,,,,3933.356259294068,1636.658076300499937
1557.045005031143,26,,,,,3966.967558661504,1652.110095121499847
1561.651176684204,27,,,,,3972.764355252666,1657.259755619699713
1580.887573537427,26,,,,,4052.169730358008,1706.048506199699653
1622.123306252699,25,,,,,4066.583596627699,1703.243899735799907
1628.938585745227,26,,,,,4126.779390090534,1739.420275067800043
1636.318302065273,25,,,,,4167.23679743078,1774.444321001200018
1649.594525958135,26,,,,,4227.400426996471,1726.867990353299766
1662.476620124587,27,,,,,4235.86145864007,1745.486324450600016
1662.864215751547,28,,,,,4265.135994517282,1759.666372498099913
1675.566770064164,29,,,,,4302.298343827738,1739.047209970599845
1679.812142707687,28,,,,,4354.835879560952,1774.725170195499681
1682.74531438156,29,,,,,4385.927292382206,1804.620963758399733
1692.418028113348,30,,,,,4400.87455703642,1818.406781170299832
1697.971804968337,29,,,,,4458.41276330931,1864.54703613709989
1711.665529228768,30,,,,,4478.275722220663,1871.027720574699735
1713.836471198665,31,,,,,4533.319718890395,1918.598321356500031
1720.920953843574,32,,,,,4554.543062529902,1897.248263105399922
1722.859408935111,33,,,,,4637.962904352322,1979.275751506299902
1739.737178386928,34,,,,,4658.797320427863,1972.871533095799796
1742.079927524141,33,,,,,4719.242198782163,2010.565641339199822
1748.477738662407,34,,,,,4720.23136172993,1998.530189648699883
1750.482155415478,33,,,,,4783.933232729047,2045.165581932199976
1769.657926370031,34,,,,,4801.715065062189,2075.124072540099397
1774.659556269585,35,,,,,4876.197260513046,2115.671521043899696
1798.079041818803,34,,,,,4883.905554954111,2076.00145206819979
1802.671504471997,33,,,,,4945.061097973341,2127.4842273375998
1820.032236123435,34,,,,,4966.963017371941,2128.629145226499526
1835.43377331436,35,,,,,5048.126007207969,2192.042096492799822
1859.77416322111,36,,,,,5081.909811896567,2217.974440617699651
1867.505185998175,35,,,,,5084.577697195854,2179.425901099300056
1871.655633187586,36,,,,,5156.4164262766,2184.687090894100031
1896.70778368582,37,,,,,5172.449314789626,2223.98224507560007
1909.377036040274,38,,,,,5239.598560081348,2262.656422111299426
1911.249934613973,37,,,,,5251.652729710875,2248.460431881499968
1948.093409177738,36,,,,,5329.577914000824,2263.243705343099456
2003.242809050499,35,,,,,5332.442503844243,2256.734765666999913
2025.262238223205,34,,,,,5408.262420407521,2311.770569498699835
2044.684846439016,35,,,,,5412.706586043661,2298.539022014199866
2047.700666642893,36,,,,,5479.624291448875,2332.49520395619947
2058.158067244661,37,,,,,5482.437235469802,2320.73767112239965
2058.833802955699,38,,,,,5547.941304686444,2379.75775806929959
2060.267310641957,39,,,,,5552.209711929804,2373.940566647599545
2084.698828625937,38,,,,,5638.600666403856,2447.890782740099885
2110.839803652031,37,,,,,5653.527772141052,2446.150323664299315
2141.26424741805,38,,,,,5677.289304169395,2433.206587633900195
2143.475486590918,37,,,,,5718.962363634636,2461.488835281899802
2208.640575019183,36,,,,,5754.791928897541,2496.699874713599447
2215.463459256125,37,,,,,5803.20921323636,2516.126063523899565
2220.170019019355,36,,,,,5832.931146069609,2518.361136068700025
2243.189286296549,37,,,,,5882.953036198852,2566.640854532799485
2244.306687354319,38,,,,,5937.934128804168,2620.68819226520008
2252.586265807772,39,,,,,5983.79340610175,2601.177541546299827
2257.049049969788,40,,,,,5984.922719451721,2579.688485312499315
2261.00564011897,41,,,,,6056.174975873104,2597.889571423499535
2261.379549527389,42,,,,,6072.32173627565,2530.916909914799352
2265.129928551444,43,,,,,6112.089086570734,2562.429662875299972
2267.373267468576,42,,,,,6161.161733289137,2606.573993149499975
2290.266860800658,41,,,,,6169.458037493708,2549.691877810399992
2296.698182993563,42,,,,,6233.517144015745,2600.194944291300082
2314.857463540054,43,,,,,6261.951794238145,2608.720321646399487
2315.50459963296,44,,,,,6298.654060723316,2620.764978870899532
2345.103343301174,43,,,,,6349.882700209362,2634.191584395000052
2346.121224158307,44,,,,,6372.854017597236,2626.841523186400077
2363.339696891921,45,,,,,6450.434675280406,2624.26318777209962
2387.35911502276,46,,,,,6451.274173661731,2618.030754648199937
2392.792476429606,47,,,,,6515.570851550262,2677.247204969699842
2397.679024300085,46,,,,,6532.544302310132,2615.267990378400092
2411.104409948379,45,,,,,6600.098035460745,2635.413971916699657
2468.890842041632,44,,,,,6608.173337623388,2613.636630795499502
2490.375134189476,45,,,,,6673.067847489323,2621.114295332299652
2498.327994920694,44,,,,,6694.093131845038,2694.271015734399945
2500.53243664321,45,,,,,6748.150916923871,2666.753281606999727
2505.469622019186,46,,,,,6783.855136795813,2695.192657100899842
2563.251133857163,47,,,,,6847.083383616216,2732.61466497609944
2567.566689923217,46,,,,,6852.017578553065,2760.17643526499977
2575.915587272753,45,,,,,6925.968074965004,2755.942292273200102
2580.110709365451,46,,,,,6940.741345868302,2803.974878789999807
2581.306328623759,47,,,,,7000.36404120585,2814.037891896199642
2582.467775866078,48,,,,,7030.336144304326,2808.617598530399837
2593.865727172207,49,,,,,7103.783941537598,2880.926065114399525
2607.248001646005,50,,,,,7116.440499672189,2880.639129168100217
2614.721397533894,51,,,,,7178.018701616831,2921.652047305499755
2619.067239858718,50,,,,,7181.759456682007,2938.778859810399795
2646.361108680575,49,,,,,7254.505581940416,2975.14409987409998
2657.294799424524,50,,,,,7257.480643182762,2966.755751441599377
2658.687152845996,51,,,,,7339.291960719592,3003.934416327700077
2685.925787332108,52,,,,,7367.088345188067,3066.805093696700157
2708.676557442921,53,,,,,7403.05950020913,3044.952859668299415
2712.257104196723,52,,,,,7438.440516609903,3101.91241423910013
2716.972124607184,51,,,,,7453.742992321656,3065.588095906599837
2721.701172081273,52,,,,,7507.399972296386,3100.081480758500207
2726.590992522131,53,,,,,7561.907978044425,3154.39477831969997
2738.767650796875,54,,,,,7577.640598907319,3188.037320290000015
2760.525739469162,55,,,,,7632.403097679588,3218.518220997299965
2779.961703692841,54,,,,,7647.162211818987,3188.755655347899837
2784.940932653446,53,,,,,7686.85429663052,3196.279383177699845
2807.904102885902,54,,,,,7762.921781322606,3258.847848396700095
2817.576870635695,55,,,,,7771.910781236014,3266.23527119119989
2838.333872145479,56,,,,,7829.545124492535,3311.19097191789932
2856.083910715153,57,,,,,7830.912322669955,3295.32482025939952
2862.593424747755,56,,,,,7882.113318817025,3335.817729384600157
2863.935371278904,57,,,,,7917.992533726466,3370.97688769910018
2878.542097798085,56,,,,,7962.656660979168,3385.024046572899337
2905.151796096521,57,,,,,7982.488026144219,3393.59890770160017
2909.522911250785,56,,,,,8036.672423012004,3408.649429763299842
2948.467069714014,57,,,,,8068.441405114571,3463.294319448299565
2951.630733219227,56,,,,,8105.313095577956,3456.324320230200087
2971.729335382523,57,,,,,8126.248505327965,3467.28588332280013
2976.942137970052,58,,,,,8177.098645997277,3452.299193865199402
2980.423380692676,57,,,,,8184.480993577963,3522.338131236800095
3003.192297829365,58,,,,,8229.721643465868,3409.764469907599952
3030.337890125074,57,,,,,8244.112147333533,3471.03236659130015
3054.658016112813,56,,,,,8288.846802945716,3434.351177225399612
3066.334208657677,57,,,,,8290.694407936133,3459.624056114699657
3075.707738177215,58,,,,,8372.301563340156,3492.613114207299977
3087.49527754441,57,,,,,8377.229520958589,3492.051801385699937
3096.491850908844,58,,,,,8447.12566116085,3532.816737356400142
3114.167564029502,59,,,,,8449.725148224423,3531.916323455599915
3135.476885838058,58,,,,,8486.741111717912,3536.90487576529994
3147.129087492721,59,,,,,8516.894490537729,3598.889377040999525
3161.699564347408,60,,,,,8572.288317140235,3596.230417239599757
3166.159534493842,59,,,,,8622.431650461826,3658.594901786899742
3168.183546617138,60,,,,,8662.442122909842,3684.333185149099317
3178.269145282168,61,,,,,8677.7482861597,3638.960496951100127
3190.709883663792,62,,,,,8731.105815268307,3688.88725351219999
3207.37744847671,63,,,,,8779.733682516166,3689.611524972299757
3209.927230896908,62,,,,,8792.818288005728,3643.060537315299357
3244.082716535501,63,,,,,8811.148312244119,3660.713124448900077
3244.788115208178,62,,,,,8868.058960978684,3710.289670107499645
3257.473528352723,63,,,,,8888.401275205095,3666.756746880299925
3258.092054183933,64,,,,,8935.958175442392,3676.980837713999782
3287.083149712485,65,,,,,8953.604739270823,3684.368861705799632
3287.597922554441,64,,,,,9005.897541568741,3668.3086472113
3314.570010000893,65,,,,,9006.345575360409,3721.740446247599705
3315.016898862293,64,,,,,9070.85880586571,3724.20674116410008
3316.312181666062,65,,,,,9095.513956420038,3756.773203726299457
3317.245936538952,66,,,,,9165.252097318789,3816.789883214200002
3366.396688656362,65,,,,,9188.916385623403,3835.155472765999537
3382.61586455541,66,,,,,9233.618188743762,3874.442788071599337
3383.425128506633,65,,,,,9271.623018339248,3893.385166901799482
3405.234234139184,66,,,,,9308.987161597541,3894.158467042900145
3438.707100070846,65,,,,,9339.075375103099,3918.441212245999837
3458.285404449593,66,,,,,9360.07529627605,3938.781053717800192
3464.787534931689,65,,,,,9426.917102639698,4000.62384374849988
3512.721524273118,64,,,,,9460.694388575847,4017.043892286899782
3536.272376912658,63,,,,,9504.999040222816,4055.509622499299427
3541.404826360856,64,,,,,9542.121288071608,4063.14342585239955
3549.659423695393,65,,,,,9586.224882485502,4001.152109355599337
3554.587740139648,66,,,,,9588.83168403486,4036.66257944639982
3582.284482526733,65,,,,,9662.820660848955,4043.834651886500062
3619.766159683341,66,,,,,9667.835454048936,4069.283812034599565
3620.928890899964,65,,,,,9738.716097509252,4091.190732829600155
3633.322199724442,66,,,,,9755.168421754319,4130.656308933299437
3653.231472591775,67,,,,,9805.832431344246,4084.270181793000107
3659.180907461887,66,,,,,9821.96950637199,4152.720075469200295
3677.88908185239,67,,,,,9869.272891933015,4104.725529239600282
3688.258059945347,66,,,,,9935.371908054912,4197.6300646010004
3703.634790843191,65,,,,,9955.366248219149,4180.100909618899082
3715.691115814316,66,,,,,9986.133517751319,4199.015030792299502
3746.012494410817,67,,,,,10026.73117039447,4187.816160525499055
3755.35592796725,66,,,,,10041.987096416784,4191.148648719899927
3755.980136944156,65,,,,,10087.283305448438,4227.874705668000377
3787.273124170292,64,,,,,10165.086524924242,4250.295035486999025
3826.171487508304,65,,,,,10181.491077834841,4259.664240688998675
3830.115497819341,64,,,,,10236.516676365479,4312.109069156000242
3833.243419013564,65,,,,,10236.577623961692,4215.575611792799452
3838.323646580568,66,,,,,10313.366066309171,4283.497366220299217
3872.332441628969,65,,,,,10346.41549031482,4290.30752860420033
3897.200469357451,64,,,,,10369.232081541717,4310.274060918100065
3917.276311931748,65,,,,,10421.409975294446,4352.92163825139868
3941.675675852065,64,,,,,10475.78624468956,4397.921993813699362
3949.841879187355,63,,,,,10489.379889846101,4402.13807585769972
3964.684063544029,64,,,,,10548.707120118704,4429.718161536398827
3994.536706827877,65,,,,,10602.052854751058,4479.29260168379913
3999.822116110592,66,,,,,10616.761054089344,4479.97989083549872
4019.000133255028,65,,,,,10649.283389506888,4475.95170089669953
4038.066332875888,64,,,,,10674.0160670801,4484.474515526298982
4051.95355215701,65,,,,,10710.080984241048,4463.390925730898727
4081.397635316883,66,,,,,10742.231052009362,4495.042431584699437
4088.662479694919,67,,,,,10809.063259897489,4537.823492578700082
4090.355558175454,66,,,,,10830.888168252492,4535.034023913000045
4091.841143288042,67,,,,,10886.753923476203,4578.876686209099705
4114.468718640131,68,,,,,10921.167758631204,4588.596923842998857
4136.766467078271,69,,,,,10944.842775313238,4608.96608027860018
4137.096696242779,68,,,,,11011.213331292446,4644.93725288669883
4170.025782691756,69,,,,,11017.679369575527,4669.936063175699
4186.326149309682,70,,,,,11069.711353794821,4701.327352790800415
4192.621983097379,69,,,,,11084.888775793575,4706.85327048629913
4201.848683428269,68,,,,,11164.95898892181,4704.47610165809963
4221.71854577388,69,,,,,11205.822386199384,4763.280559217799225
4222.857876423218,70,,,,,11230.399178795069,4718.515029324598785
4235.80137050408,71,,,,,11249.627249154216,4783.15730183169943
4242.980596871614,72,,,,,11328.962195065468,4737.559487703700125
4246.041383539047,71,,,,,11349.499993380867,4767.43457289039905
4256.366654311335,72,,,,,11393.437452160816,4742.097322169700405
4276.389397812957,71,,,,,11411.554947409713,4775.102382646498865
4279.361482066331,72,,,,,11492.840589627741,4833.50455418700039
4290.724891741178,73,,,,,11500.455045225534,4840.1206977362999
4300.283251491401,74,,,,,11567.276089632799,4854.74020886839933
4309.74085617411,73,,,,,11574.396813353655,4867.711944613100045
4335.357544391871,74,,,,,11630.811674375928,4898.45145857429996
4336.528102370801,75,,,,,11664.480790514467,4943.937279120898875
4345.960743536684,74,,,,,11727.826339087781,4981.17343953859924
4358.106640540793,75,,,,,11733.773011367316,4960.171135344298805
4375.273782628144,74,,,,,11784.872760394524,4953.368532031099655
4388.154896415008,75,,,,,11830.097002924816,4956.314638268398975
4389.6032786173,76,,,,,11860.937117411322,4965.09575849549945
4407.318491537898,77,,,,,11864.950545468735,4984.80032049120016
4407.513199724709,78,,,,,11938.259878425639,5039.20883736259928
4413.88487668229,79,,,,,11942.672710265891,5018.840939055298785
4427.204375898141,78,,,,,12004.832053678617,5065.38029335729878
4448.931463318255,77,,,,,12016.358611778855,5092.03017641330005
4458.406556471127,78,,,,,12078.285700651018,5122.50208655270033
4490.574913452844,79,,,,,12099.298067417538,5092.46492344830038
4504.073932925908,80,,,,,12158.025406777765,5103.866457531599715
4505.675510044788,81,,,,,12175.870663728108,5102.24226360899955
4511.858002461441,80,,,,,12221.352375169582,5100.475989108899725
4518.354152574618,81,,,,,12248.605958890711,5151.496156035698715
4535.587502410523,82,,,,,12294.879429475426,5158.51270765600019
4538.772901290537,81,,,,,12318.760041782908,5160.101099903498825
4546.295589432392,82,,,,,12345.199706084545,5181.38906687829875
4547.01564602738,83,,,,,12372.689081559059,5188.04155305639868
4577.632614406246,84,,,,,12435.071187063456,5214.53019628089895
4588.889118442589,85,,,,,12452.088688124931,5165.73472073710034
4600.293724498769,84,,,,,12498.177453807983,5190.90698056449945
4605.147085666299,85,,,,,12533.369344339647,5217.970613761199255
4628.022993248675,86,,,,,12562.779708546297,5246.790341744599555
4631.202101587712,85,,,,,12645.902488048361,5298.619990232698895
4648.988775347798,86,,,,,12660.664057855304,5280.514495335499295
4658.962622005198,87,,,,,12725.394111567015,5319.189394505699945
4662.142862341188,88,,,,,12737.92082713314,5347.208384798899705
4684.906824561585,87,,,,,12799.23010431443,5365.54057890069997
4694.471036303935,86,,,,,12806.763500110417,5381.0329425896998
4724.799452132119,87,,,,,12837.921862620086,5391.002806168598895
4750.484916246527,86,,,,,12857.05782398311,5420.50332449370033
4763.313980794294,85,,,,,12935.960180980275,5465.529098171000425
4773.079780742278,86,,,,,12943.095972244779,5482.204844454399775
4819.957173558249,87,,,,,12997.003996416583,5475.462559273999415
4831.070351821414,88,,,,,12998.567934195544,5454.194186582499225
4852.378592031855,87,,,,,13039.520598611365,5491.30493947539978
4854.495625720354,88,,,,,13056.904742309496,5501.078864202299875
4855.563638990092,87,,,,,13111.764178759607,5546.080725284999045
4879.688449132829,88,,,,,13146.138116461443,5574.79321426989917
4885.177719572901,89,,,,,13199.682366799004,5567.5468328047991
4914.308923804415,90,,,,,13214.254921688944,5576.68207092329975
4917.808824768779,91,,,,,13298.140742884994,5612.875585254700105
4918.005113496742,92,,,,,13329.506346086342,5636.062837871098935
4922.092070859269,91,,,,,13341.786277824279,5636.73697784939939
4949.836235952606,92,,,,,13397.107692121459,5672.413628458400105
4955.422758512494,91,,,,,13410.178855678232,5679.800397144599605
4963.836748674914,92,,,,,13482.134946015737,5709.600880313999345
4976.057899900625,93,,,,,13489.330129627413,5715.535595040599195
4978.108937760695,94,,,,,13554.799527020443,5768.13049631650026
5009.549273675309,93,,,,,13597.85476388097,5763.52436771320024
5038.787789208646,94,,,,,13607.781682407329,5758.646242411299665
5042.218561756102,95,,,,,13677.165987616808,5813.03972089200031
5049.638208096214,94,,,,,13689.968336146106,5833.57195306219908
5065.959580651462,93,,,,,13745.509493800452,5757.46502470119956
5090.122157543891,94,,,,,13782.478104500165,5742.440170493999155
5136.351804196151,93,,,,,13811.949185451044,5757.45920669419864
5143.397323299759,92,,,,,13846.051759806325,5780.22774185249908
5149.757750690416,93,,,,,13886.961492631352,5811.962448624599325
5150.435187795265,94,,,,,13887.464717703855,5759.783045778200155
5157.769290871147,95,,,,,13948.233183326481,5818.515198561299225
5216.329595719358,94,,,,,13976.294893260336,5825.17525870260031
5216.776208233268,93,,,,,13986.061631276829,5690.272627663100125
5221.644528324794,94,,,,,14054.1416330123,5743.82288948629864
5258.977337728408,95,,,,,14067.017990535255,5764.873600093898835
5269.235877564987,96,,,,,14122.870154843804,5807.642999826899515
5284.605129112808,97,,,,,14162.743093127916,5850.711933719700005
5286.671850703081,96,,,,,14208.89092960301,5864.67733719659916
5306.655635558688,95,,,,,14238.626314302507,5864.74925373539916
5337.588894357411,96,,,,,14295.790338363272,5854.200958991899805
5338.740752693752,97,,,,,14301.560033604697,5923.72833767869995
5346.652064701656,98,,,,,14361.878743031052,5781.760198394898885
5348.462214104622,99,,,,,14374.761168393727,5876.641309610999065
5353.760912857371,100,,,,,14436.996607021152,5856.69863463840009
5359.175400672116,101,,,,,14471.126094879162,5888.781752904898875
5378.237851437437,102,,,,,14491.484613059126,5907.248936354899315
5380.030085974078,101,,,,,14548.045893281485,5950.035999698098735
5386.315216569039,100,,,,,14550.025257451305,5932.706647873999805
5414.828694554611,101,,,,,14621.803063912091,5987.082856127399265
5420.634162857076,102,,,,,14635.991165893438,5917.365585706400435
5421.294242558203,103,,,,,14687.468587369721,5956.627923685298785
5426.293258891198,104,,,,,14693.081896164931,5948.039825567399
5443.650496288948,105,,,,,14762.177688950824,5938.93280296030023
5449.489417723524,106,,,,,14796.03273383265,5971.574361838600435
5451.178046648854,105,,,,,14807.225682206886,5960.51003398059945
5451.970791732922,104,,,,,14852.337997026303,5995.41692084480016
5478.977862219197,105,,,,,14916.146393080892,6047.9210842025004
5520.512872542437,104,,,,,14930.333884797299,6052.7164152762998
5534.35253298699,103,,,,,15007.306648910812,6088.95249699949998
5552.169104588431,104,,,,,15013.685380232237,6117.002192086800255
5585.072773129919,105,,,,,15059.613790026277,6118.260018771899905
5598.551642014293,106,,,,,15088.093249476489,6154.34185884890028
5610.012492786814,105,,,,,15140.874699522623,6197.179527481699535
5616.073672839024,104,,,,,15144.247103631068,6164.718844872399105
5618.986008962484,105,,,,,15206.751021120601,6200.49139401550016
5624.512112821035,106,,,,,15255.658918960724,6239.194108848500015
5647.525364679624,107,,,,,15334.273867179179,6315.483223731600425
5654.43999756768,106,,,,,15354.767087185885,6320.8393573937992
5669.24943090277,107,,,,,15385.711916247959,6333.140451644499965
5699.466502570137,106,,,,,15429.173956802285,6376.00083628809988
5721.562249551213,107,,,,,15473.007458496016,6355.88116283379893
5729.803202040863,106,,,,,15508.482518950956,6346.970312853200065
5737.741843453868,107,,,,,15548.78652042565,6281.436813805499675
5764.54736269346,108,,,,,15551.896958656806,6381.299001017800015
5775.26533860025,109,,,,,15630.647692426063,6338.54230006069881
5785.467316536235,108,,,,,15652.77350411831,6376.08073296889959
5787.118486958983,109,,,,,15724.493286698917,6430.6044726880991
5801.146358382524,108,,,,,15724.954156297115,6424.645389128500005
5838.915009868928,109,,,,,15809.397846061375,6504.084013284698785
5850.838447696864,110,,,,,15816.558602302841,6511.07021159999929
5859.408599780461,111,,,,,15885.069144249955,6577.47323073450023
5874.382366391965,110,,,,,15917.14934246725,6609.048206515799375
5890.620329917385,109,,,,,15959.13030295373,6644.87039109069881
5914.79148943722,110,,,,,15985.911752766657,6668.535457181398655
5921.826837145818,111,,,,,16043.544414932729,6724.799341839800015
5924.407607209504,112,,,,,16078.797452851188,6745.631331669899715
5948.130466130129,111,,,,,16155.481196805151,6818.77746150139863
5952.731014303005,110,,,,,16166.014692508037,6828.177279581099335
6021.00201216889,111,,,,,16265.899686096598,6911.657093317498925
6023.171111121716,110,,,,,16272.500625289207,6872.74363284860008
6029.868700088916,111,,,,,16314.45680762194,6892.217036559199155
6044.306143810826,110,,,,,16325.474779631551,6914.37042479770023
6056.107961710611,111,,,,,16399.408010230778,6951.184542940600275
6058.958020623621,112,,,,,16399.444971952527,6962.17975341639974
6068.488337043073,113,,,,,16453.679875602444,6977.648621767799315
6077.864250875855,114,,,,,16482.188653631533,6997.535363252500225
6080.933545500254,113,,,,,16541.65205249434,7011.790753167799255
