queueLength:vector AmusementAlt3.TicketQueue1 (#0 - General-0-20190508-14:28:33-4536),,queueLength:vector AmusementAlt3.SecurityQueue1 (#0 - General-0-20190508-14:28:33-4536),,lifeTime:vector AmusementAlt3.EnterPark (#0 - General-0-20190508-14:28:33-4536),
0,0,0,0,97.47993272911,97.4799327291100037
351.363291923418,1,392.671346773211,1,126.379835093089,73.2702607602799954
369.673613619676,0,393.323171963506,0,136.659821271953,120.7423311806399791
381.128388438452,1,482.374861853129,1,139.709035501511,70.85543836906398925
384.033948984296,2,502.617185951953,0,206.133289180753,117.739563520439986
384.413320368318,3,546.591222040485,1,237.011992349417,104.1477782483800066
385.308885112586,2,549.83143036799,2,282.308210759443,136.3663453139799907
392.248736581852,3,561.477760492665,1,290.146791364942,52.93919628464900005
392.671346773211,2,568.784109203454,0,307.553665841998,100.4617559344499963
411.439696129217,3,585.924656800043,1,338.450001015051,140.5430538526100005
418.108988981467,2,588.387213225037,0,393.323171963506,115.2977325649799805
421.085248975908,1,604.993279190953,1,414.35794663775,90.585094590072998
423.394617665585,2,616.816260616814,2,417.690228633398,109.3340697550700038
445.372867016604,3,619.353383643709,1,454.546659059257,103.1833671358400008
466.549549646356,4,626.333054098749,0,456.873230908801,118.3438330260100025
472.568906454161,3,651.940350933635,1,502.617185951953,118.5832369676599848
481.582187534918,2,653.094083922119,0,509.061484142694,127.9330957042400025
482.374861853129,1,726.487904364916,1,540.39097736959,148.1422407877399787
488.7614985601,2,741.539909489739,0,561.477760492665,177.0644401243499707
489.545161688362,3,827.81356106437,1,568.784109203454,123.4112421868499888
501.091647904492,4,833.77075251947,0,588.387213225037,164.9925955594499663
514.91606050592,3,975.330499886341,1,596.581711189578,185.1420150603599945
521.209068007823,4,986.788741366456,0,619.353383643709,152.8038339973500112
524.727338916335,5,999.799479994991,1,626.333054098749,137.5715555386499882
545.347310621478,4,1005.542069425209,2,653.094083922119,152.0024360176299747
546.591222040485,3,1023.007157816791,1,667.835009885674,178.2898481973099927
549.83143036799,2,1025.020090154684,0,709.536385674773,188.3273176669499657
585.924656800043,1,1028.923146557425,1,741.539909489739,216.8125705733999657
601.343379589656,0,1037.414782310232,0,757.357075210402,125.4277292891999872
766.557893875296,1,1221.568364443951,1,779.949848520339,111.624124213449988
777.255581390434,2,1225.059642920187,0,800.237852956741,89.80570263400898015
784.324576904098,1,1276.54818958556,1,833.77075251947,93.1114644813710012
811.612135474546,0,1287.164028796149,2,856.674943574668,127.67322331391
831.042232867295,1,1291.643405308886,1,863.090716092501,119.8702927481799913
838.713437149267,2,1300.147610428658,0,897.205456941643,69.8716398895049903
860.454978518248,1,1325.106497115566,1,899.077147416626,132.5192535413299875
872.300426777881,0,1325.649692815561,0,915.47614947125,86.16932625074699065
875.659990169304,1,1357.47787586063,1,915.815276103767,138.5596947133299743
893.32257100849,2,1360.348539965166,0,937.275759134527,106.2335262672299901
898.323794573796,1,1488.781073768944,1,986.788741366456,148.0753042171899658
899.448980218601,0,1492.923678850761,0,1023.007157816791,129.6845868082999682
909.418519004518,1,1583.250375157024,1,1025.020090154684,149.3600999853799743
915.712952221611,2,1596.646150644352,0,1037.414782310232,127.9962633057099875
930.653647790753,1,1627.709589737853,1,1050.482178917637,134.7692266960299883
940.043125290343,2,1639.89290051037,0,1067.441198959448,121.6776542189400057
945.763544740504,3,1701.336240832149,1,1078.363242993385,138.3201177030400113
946.154473589433,2,1702.8366867319,0,1107.448388815971,133.4643558895799625
973.984032926392,3,1767.513010304658,1,1109.824099178513,118.8556500208299831
974.863775087152,2,1767.704491272451,0,1148.183056439512,80.35447561695698905
975.330499886341,1,1834.540006887185,1,1216.116726729324,105.5915369070999926
990.968449157681,2,1863.674987759455,0,1225.059642920187,99.29709767205
999.799479994991,1,2056.103371500853,1,1247.022745440497,100.6042599794500058
1005.542069425209,0,2068.43817832961,0,1256.967971439074,97.6673918115770046
1166.479123944893,1,2233.794747898113,1,1291.643405308886,118.3709867123500026
1173.27241859654,2,2239.898412144435,0,1300.147610428658,133.6684864837699813
1180.124411090502,3,2273.195923514541,1,1325.649692815561,145.5252817250599825
1187.416048151201,2,2277.318973811523,0,1328.07109920047,138.273974378179957
1189.79712482229,3,2356.936699431725,1,1360.348539965166,141.0247937323300102
1190.100902510932,2,2373.939989070758,2,1375.072265911598,173.6231012448699852
1192.708604391247,3,2378.110287093487,1,1391.580963433372,102.8065076148899945
1201.449164666726,4,2379.707901525266,0,1394.652553015458,201.9439486242100081
1218.51721741784,3,2407.090355840038,1,1447.836171496443,122.0520734167500047
1219.323746232836,4,2412.771661544182,0,1450.368120893341,137.2532751681100075
1221.568364443951,3,2420.122887675554,1,1492.923678850761,126.6214044290099987
1262.307500556834,2,2427.252419626888,0,1494.766437587041,98.2676940530990063
1263.013042274958,1,2434.578979815606,1,1531.794658121669,118.4582953530899937
1276.54818958556,0,2468.978446378506,0,1557.179090645674,143.1669921660499648
1313.114845725235,1,2506.963101185004,1,1596.646150644352,74.01764042192598905
1325.106497115566,0,2507.844961411046,2,1614.828079330681,199.3824731647999887
1325.784098079689,1,2514.907126325298,1,1639.89290051037,143.4503575683999652
1353.982594121227,0,2548.460445802537,0,1642.766700945508,111.8459398698999787
1413.336362768582,1,2571.728848096001,1,1653.012230587893,113.8783063262099798
1414.01209847962,2,2574.662684262929,2,1680.566781026871,145.1832357892499766
1415.445606165878,3,2580.010084071179,1,1702.8366867319,132.1345080280999577
1430.004415803963,2,2591.88545814859,2,1712.840757020807,129.0394953445299957
1431.151423166694,1,2599.302673699972,1,1732.423215119928,149.2690895365599878
1460.548176319511,0,2618.386236041964,0,1767.704491272451,170.039234205429977
1535.383545237624,1,2732.450531098008,1,1769.548538944133,154.6648091435000078
1539.133924261679,2,2748.81310907039,0,1799.070381036881,160.1672331053999862
1570.702178703798,3,2803.277139513528,1,1807.097157027421,152.8524160044999571
1576.184680462714,2,2818.615864239276,0,1822.25068689604,136.0917636279500012
1579.467214751071,1,2874.391424850418,1,1863.674987759455,172.5788791153900087
1583.154125583366,2,2878.613683746713,0,1872.33102067506,190.2927383766299832
1583.250375157024,1,3055.298840545882,1,1887.685416191939,138.8077957098900012
1583.801261676272,2,3065.59235649008,0,1901.410023750693,150.7493174687400025
1597.665257067023,3,3074.670971185145,1,1923.692378843504,165.5582766736599746
1614.883729800637,4,3079.870784045493,0,1943.307706503647,165.9448129023799647
1615.292155784477,3,3221.844826280263,1,1960.612609969055,181.8573629463199941
1627.709589737853,2,3233.299955065454,0,1985.220089936852,179.226208428000006
1638.903147931476,3,3531.474457794308,1,2002.059036194909,180.682758664130005
1654.244741022922,4,3537.984872195712,2,2026.259628139554,178.4883900757699843
1658.71679151663,3,3539.786222948236,1,2039.915248540506,199.8577643576199981
1671.654273526117,2,3544.9756561864,0,2068.43817832961,153.879979179289989
1682.038282298432,3,3559.830753050379,1,2078.469432234579,152.8278165032999702
1686.158923268093,4,3567.21819673142,0,2096.163657343112,201.4355440507399627
1691.096108644069,5,3772.800426852248,1,2119.99300727572,133.287698152569987
1693.790818241833,4,3791.368590340546,0,2157.200256577859,107.3530366263999833
1701.336240832149,3,3829.681142222312,1,2160.766481286607,98.4626751398500058
1748.877620482046,4,3829.832150557403,0,2188.29687656411,90.1987062582300036
1750.193500251688,3,3844.419615579361,1,2201.968486439316,106.7031568293400025
1750.660706281951,4,3855.8904870502,0,2239.898412144435,100.7526901220099939
1757.392639398215,3,3927.491459972631,1,2242.711394448894,120.2332372393899782
1758.13410216984,4,3933.851320844965,2,2277.318973811523,135.506439323649999
1767.513010304658,3,3949.242610869597,1,2280.408051331855,77.2788360228329904
1777.362893601264,4,3958.55325510652,0,2297.230019342251,99.0047658860750058
1778.755247022736,5,3989.86848799101,1,2303.239608176575,84.04255761421100565
1781.960757363342,4,3991.557119857908,0,2378.110287093487,152.1501422342299741
1805.993881508848,5,4231.409636567027,1,2379.707901525266,151.6340131839199891
1821.376277530777,6,4238.286075282748,0,2412.771661544182,183.3955159070999907
1822.154891369078,5,4330.924899922465,1,2416.36944556145,186.6619780359399658
1830.057677489548,4,4350.815907082917,0,2427.252419626888,181.322131656819976
1833.409005820806,3,4616.967822918312,1,2468.978446378506,177.926654516739972
1834.540006887185,2,4624.100885921719,0,2476.581124581655,177.2747353853599741
1840.057484182882,3,4833.37433307378,1,2494.094649877139,217.4077876175400085
1847.771238063787,4,4833.394197139077,0,2514.907126325298,145.4940011410499772
1890.12369941534,3,4904.190810975641,1,2548.460445802537,154.389711357669966
1894.728113292374,4,4916.538180351275,2,2551.062916261915,137.7519432852499785
1894.966621896076,3,4917.760977611392,1,2580.010084071179,275.7753784306199797
1914.558199150318,4,4938.599371220033,0,2599.302673699972,92.038884114843
1916.04072687572,3,5165.295483435659,1,2618.386236041964,156.2244586177199602
1925.64161573128,4,5165.941236083327,0,2627.819937451783,174.8539863830499706
1928.141172031824,3,5281.983385665431,1,2642.616157056763,169.8850350664799856
1956.086462871583,2,5290.942527454549,0,2662.602780864665,138.496265222789986
1970.07656073727,1,5444.570318767537,1,2672.317566717943,100.8032994637899829
1986.705309123147,2,5459.036835056123,0,2718.793659202286,140.0935138456100043
1996.804697132081,1,5548.330438840604,1,2726.129484507946,142.1439298685500031
2011.204153229536,0,5549.752429070278,0,2748.81310907039,103.7303588508499953
